No;Tanggal;Keterangan;Jumlah
1;01/01/2023;Tb. aizu 03 / Bg. Zidni 01; Rp7,460,000 
2;01/01/2023;TB. Aizu 05 / Bg. Zidni 03; Rp6,950,000 
3;01/01/2023;TB. Aizu 07 / Bg. Zidni 06; Rp9,775,000 
4;01/01/2023;Tambat pelabuhan Aizu 02 H. upik 19 nop '21 (bln mar '23) ; Rp150,000 
5;01 Februari 2023;Premi Tb. aizu 03 / Bg. Zidni 01; Rp5,100,000 
6;01 Februari 2023;Premi TB. Aizu 05 / Bg. Zidni 03; Rp8,075,000 
7;01 Februari 2023;Premi TB. Aizu 07 / Bg. Zidni 06; Rp9,875,000 
8;01/03/2023;Tb. aizu 03 / Bg. Zidni 01; Rp7,460,000 
9;01/03/2023;TB. Aizu 05 / Bg. Zidni 03; Rp6,950,000 
10;01/03/2023;TB. Aizu 07 / Bg. Zidni 06; Rp9,775,000 
11;01/03/2023;Tambat pelabuhan Aizu 02 H. upik 19 nop '21 (bln mar '23) ; Rp150,000 
12;02/04/2023;Tb. aizu 03 / Bg. Zidni 01; Rp11,450,000 
13;02/04/2023;aizu 03; Rp130,000 
14;28/04/2023;aizu 03; Rp130,000 
15;28/04/2023;TB. Aizu 05 / Bg. Zidni 03; Rp11,512,500 
16;28/04/2023;aizu 05; Rp50,000 
17;01/05/2023;TB. Aizu 07 / Bg. Zidni 06; Rp13,612,500 
18;01/05/2023;Tb. aizu 03 / Bg. Zidni 01; Rp13,082,500 
19;01/05/2023;TB. Aizu 05 / Bg. Zidni 03; Rp14,436,000 
20;01/05/2023;TB. Aizu 07 / Bg. Zidni 06; Rp7,975,000 
21;04/05/2023;Tambat Aizu 02; Rp150,000 
22;01/06/2023;Tb. aizu 03 / Bg. Zidni 01; Rp9,630,000 
23;01/06/2023;TB. Aizu 05 / Bg. Zidni 03; Rp9,712,500 
24;01/06/2023;TB. Aizu 07 / Bg. Zidni 06; Rp9,300,000 
25;01/06/2023;Tambat Aizu 02; Rp150,000 
26;01/07/2023;Tb. aizu 03 / Bg. Zidni 01; Rp17,200,000 
27;02/07/2023;TB. Aizu 05 / Bg. Zidni 03; Rp14,875,000 
28;03/07/2023;Tambahan Premi TB. Aizu 05 / Bg. Zidni 03; Rp900,000 
29;04/07/2023;TB. Aizu 07 / Bg. Zidni 06; Rp14,837,500 
30;05/07/2023;Tambat Aizu 02; Rp150,000 
31;01/08/2023;Tb. aizu 03 / Bg. Zidni 01; Rp8,690,000 
32;01/08/2023;TB. Aizu 05 / Bg. Zidni 03; Rp15,375,000 
33;01/08/2023;TB. Aizu 07 / Bg. Zidni 06; Rp13,875,000 
34;01/08/2023;Tambat Aizu 02; Rp150,000 
35;01/09/2023;Tb. aizu 03 / Bg. Zidni 01; Rp8,870,000 
36;01/09/2023;TB. Aizu 05 / Bg. Zidni 03; Rp9,000,000 
37;01/09/2023;TB. Aizu 07 / Bg. Zidni 06; Rp13,712,000 
38;01/09/2023;Tambat Aizu 02; Rp150,000 
39;01/10/2023;Tb. aizu 03 / Bg. Zidni 01; Rp13,950,000 
40;01/10/2023;TB. Aizu 05 / Bg. Zidni 03; Rp16,397,500 
41;01/10/2023;TB. Aizu 07 / Bg. Zidni 06; Rp15,150,000 
42;01/10/2023;Tambat Aizu 02; Rp150,000 
43;01/11/2023;Tb. aizu 03 / Bg. Zidni 01; Rp13,010,000 
44;01/11/2023;TB. Aizu 05 / Bg. Zidni 03; Rp13,805,000 
45;01/11/2023;TB. Aizu 07 / Bg. Zidni 06; Rp11,425,000 
46;01/11/2023;Tambat Aizu 02; Rp150,000 
47;31/12/2023;Tb. aizu 03 / Bg. Zidni 01; Rp8,120,000 
48;31/12/2023;TB. Aizu 05 / Bg. Zidni 03; Rp9,775,000 
49;31/12/2023;TB. Aizu 07 / Bg. Zidni 06; Rp10,100,000 
50;31/12/2023;Tambat Aizu 02; Rp150,000 
